id,first_name,last_name,full_name,height_feet,height_inches,actual_height_ft,position,weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,blk,stl,pf,turnover,pts,TmMP,TmFGA,TmFTA,TmTOV,usage
3,Steven,Adams,Steven Adams,7,0,7,C,265,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,26.1,3.11,5.33,0.583,0,0,0,0.78,2.56,0.304,4.67,6.44,11.11,2.56,1.56,0.78,2.44,2.11,7,246.5666667,96.39,25.22,15.32,13.17952587
66,Dillon,Brooks,Dillon Brooks,6,6,6.5,G-F,220,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,17.76666667,3.89,8.89,0.438,1.89,3.78,0.5,1,1.56,0.643,0.22,1.33,1.56,1.33,0,0.44,2,0.89,10.67,246.5666667,96.39,25.22,15.32,23.65556464
249,Tyus,Jones,Tyus Jones,6,2,6.166666667,G,196,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,24,4.89,10.67,0.458,1.56,4.44,0.35,0.44,1,0.444,0.33,1.67,2,4.22,0.11,0.67,0.67,1.22,11.78,246.5666667,96.39,25.22,15.32,20.62974119
3198,Ja,Morant,Ja Morant,6,3,6.25,G,174,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,33.2,10.3,21.5,0.48,2.1,5.2,0.403,6.6,8.5,0.782,1.2,4.9,6.2,6.8,0.3,1.2,1.8,3.9,29.3,246.5666667,96.39,25.22,15.32,35.24466674
3199,Desmond,Bane,Desmond Bane,6,5,6.42,G,215,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,33.5,8.3,17.8,0.465,3.8,8.5,0.451,4.3,4.8,0.912,0.5,4.4,4.9,4.8,0.3,0.6,2.4,2.3,24.7,246.5666667,96.39,25.22,15.32,26.62470487
3200,John,Konchar,John Konchar,6,5,6.42,G,210,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,26.6,2.7,5.9,0.458,1.4,3.6,0.392,0.1,0.1,0.5,1.5,4.2,5.7,1.1,0.3,1,1.8,0.5,6.9,246.5666667,96.39,25.22,15.32,9.727827028
3201,Santi,Aldama,Santi Aldama,6,11,6.92,F,215,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,27.5,3.7,8,0.467,1.2,3.6,0.333,1,1.6,0.625,1.8,4.5,6.3,0.9,1.1,0.9,2.8,0.7,9.7,246.5666667,96.39,25.22,15.32,13.73162299
3202,Brandon,Clarke,Brandon Clarke,6,8,6.67,F,215,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,19.1,4,6.5,0.619,0.1,0.4,0.167,1.9,2.6,0.744,1.1,3.3,4.5,1.5,1,0.3,2.5,1.3,10,246.5666667,96.39,25.22,15.32,18.80357246
3203,Kennedy,Chandler,Kennedy Chandler,6,0,6,G,171,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,9.7,1,3.2,0.316,0.2,1,0.167,0.2,0.7,0.25,0.2,0.8,1,2,0.3,0.3,0.5,1,2.3,246.5666667,96.39,25.22,15.32,18.66182522
3204,David,Roddy,David Roddy,6,5,6.42,G,252,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,17.7,2.1,5.7,0.372,0.8,3.1,0.261,0.5,0.7,0.7,0.8,1.8,2.6,0.7,0.3,0.5,1.5,0.5,5.5,246.5666667,96.39,25.22,15.32,14.76441427
3205,Xavier,Tillman,Xavier Tillman,6,8,6.67,C,245,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,11.4,1.5,2.9,0.522,0.1,0.5,0.25,0.4,1.1,0.333,1.4,1.5,2.9,0.8,0.3,0,1,0.9,3.5,246.5666667,96.39,25.22,15.32,15.08990673
4,Bam,Adebayo,Bam Adebayo,6,10,6.833333333,C-F,255,16,MIA,Miami,East,Southeast,Miami Heat,Heat,35,7,13.1,0.534,0,0.3,0,3.9,4.5,0.867,2.3,6.1,8.4,3.5,0.9,1.2,3.6,3.6,17.9,246.7,87.1,23.4,13.7,23.70334023
79,Jimmy,Butler,Jimmy Butler,6,8,6.666666667,G-F,232,16,MIA,Miami,East,Southeast,Miami Heat,Heat,28.4,5.4,11.5,0.47,0.9,2.3,0.391,5.5,6.3,0.873,1.7,3.4,5.1,4.4,0.2,1.2,0.9,1.3,17.2,246.7,87.1,23.4,13.7,24.35155942
120,Dewayne,Dedmon,Dewayne Dedmon,7,0,7,C,245,16,MIA,Miami,East,Southeast,Miami Heat,Heat,9,1.4,2.4,0.583,0.4,0.9,0.444,0.8,0.8,1,0.5,2,2.5,0.5,0.1,0,1.7,0.6,4,246.7,87.1,23.4,13.7,16.54101758
203,Udonis,Haslem,Udonis Haslem,6,8,6.666666667,F,235,16,MIA,Miami,East,Southeast,Miami Heat,Heat,1,0.1,0.3,0.333,0,0,0,0.1,0.2,0.5,0,0.2,0.2,0,0.1,0,0.1,0,0.3,246.7,87.1,23.4,13.7,17.23187153
286,Kyle,Lowry,Kyle Lowry,6,1,6.083333333,G,196,16,MIA,Miami,East,Southeast,Miami Heat,Heat,34.9,3.7,9.8,0.378,2.1,6.5,0.323,3.7,4.1,0.902,0.7,3.5,4.2,5.6,0.4,1.5,2.9,1.9,13.2,246.7,87.1,23.4,13.7,17.18453263
397,Duncan,Robinson,Duncan Robinson,6,8,6.666666667,F,210,16,MIA,Miami,East,Southeast,Miami Heat,Heat,15.2,1.9,5.6,0.339,1.4,4.1,0.341,0.4,0.4,1,0.3,2.3,2.6,1.2,0,0,1.8,0.3,5.6,246.7,87.1,23.4,13.7,17.75312864
3092,Haywood,Highsmith,Haywood Highsmith,6,7,6.583333333,F,220,16,MIA,Miami,East,Southeast,Miami Heat,Heat,2.8,0.1,0.6,0.167,0,0.4,0,0,0,0,0,0.4,0.4,0,0,0.3,0.1,0.3,0.2,246.7,87.1,23.4,13.7,14.27529858
3100,Tyler,Herro,Tyler Herro,6,5,6.42,C,195,16,MIA,Miami,East,Southeast,Miami Heat,Heat,31.4,7.2,15.4,0.468,2.4,6.4,0.375,2.8,3.1,0.903,0.6,5.8,6.4,2.6,0.6,0.7,1.6,2.1,19.6,246.7,87.1,23.4,13.7,26.68116953
3101,Caleb,Martin,Caleb Martin,6,5,6.42,F,205,16,MIA,Miami,East,Southeast,Miami Heat,Heat,29.6,3.6,8,0.455,1.1,2.7,0.421,0.6,0.8,0.727,1.9,2.9,4.8,1.9,0.4,1.2,2.1,1,9,246.7,87.1,23.4,13.7,14.031804
3102,Gabe ,Vicent,Gabe  Vicent,6,3,6.25,G,200,16,MIA,Miami,East,Southeast,Miami Heat,Heat,26.3,3.6,8.7,0.415,1.6,4.9,0.324,1.4,1.7,0.84,0.3,2,2.3,3.1,0.1,0.9,2.7,1.5,10.2,246.7,87.1,23.4,13.7,18.48756708
3103,Max,Strus,Max Strus,6,5,6.42,G,215,16,MIA,Miami,East,Southeast,Miami Heat,Heat,33.1,5.4,11.7,0.46,3,7.9,0.378,1.3,1.5,0.864,0.7,3.1,3.8,1.8,0.4,0.9,2.4,1.1,15.1,246.7,87.1,23.4,13.7,18.06000178
8,Grayson,Allen,Grayson Allen,6,5,6.416666667,G,198,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,26,3,7.44,0.403,2,4.89,0.409,2,2.22,0.9,0.78,2.33,3.11,2.33,0.11,1,1.22,1.44,10,233.6333333,88.68,24.26,12.79,15.7960975
15,Giannis,Antetokounmpo,Giannis Antetokounmpo,6,11,6.916666667,F,242,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,29.66666667,10.44,18.89,0.553,0.89,3.22,0.276,7.22,11.44,0.631,1.78,9.56,11.33,5.11,1.33,0.89,2.56,2.78,29,233.6333333,88.68,24.26,12.79,37.50492241
87,Jevon,Carter,Jevon Carter,6,2,6.166666667,G,196,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,23.88333333,2,5.56,0.36,1.33,3.89,0.343,0.33,0.33,1,0.67,1.56,2.22,1.56,0.56,1.67,2.89,1.11,5.67,233.6333333,88.68,24.26,12.79,11.88969939
211,George,Hill,George Hill,6,3,6.25,G,188,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,21.21666667,1.67,3.78,0.441,0.56,2,0.278,1.33,2,0.667,0.33,1.56,1.89,2.44,0,0.22,1.78,0.67,5.22,233.6333333,88.68,24.26,12.79,10.46736251
